iter	Logloss
0	0.6759558571
5	0.6095851685
10	0.5745415074
15	0.551717294
20	0.5350121568
25	0.5245367227
30	0.5170999888
35	0.5117888633
40	0.5071821088
45	0.5029819772
50	0.5003103956
55	0.4987796362
60	0.4976412902
65	0.4963503369
70	0.4952254384
75	0.494606628
80	0.49392199
85	0.4931662672
90	0.4926693599
95	0.492354012
100	0.4920094834
105	0.4915206141
110	0.4913008077
115	0.4908987181
120	0.4906466835
125	0.4904262295
130	0.490128367
135	0.4898357996
140	0.4896444118
145	0.4895231183
150	0.4893269687
155	0.4892002657
160	0.4889941733
165	0.4888683465
170	0.4887667099
175	0.4886435116
180	0.4885467891
185	0.4884020674
190	0.4882806595
195	0.4881888132
200	0.488096624
205	0.4879727781
210	0.4878940745
215	0.487823104
220	0.4877573526
225	0.4876736204
230	0.4875964406
235	0.4875313367
240	0.4874540045
245	0.4873465012
250	0.487271188
255	0.4872194554
260	0.4871709989
265	0.4871175901
270	0.487056791
275	0.486982392
280	0.4869430021
285	0.4869048693
290	0.4868513081
295	0.4867545857
300	0.486718929
305	0.4866764535
310	0.486636835
315	0.4865907404
320	0.4865423601
325	0.48648278
330	0.4864379806
335	0.486392267
340	0.4863620579
345	0.4863232774
350	0.48627684
355	0.4862366882
360	0.4861962316
365	0.4861630892
370	0.4861189756
375	0.4861027472
380	0.4860573764
385	0.4860177579
390	0.4859855679
395	0.4858990167
400	0.4858695695
405	0.4858326939
410	0.485792123
415	0.4857715519
420	0.485742638
425	0.4857070575
430	0.4856588677
435	0.4856303729
440	0.4855689642
445	0.4855436693
450	0.4855123555
455	0.4854893463
460	0.4854648514
465	0.4854346042
470	0.4854050808
475	0.4853819192
480	0.4853370818
485	0.4853123583
490	0.4852879015
495	0.4852226834
500	0.4852037884
505	0.4851753316
510	0.4851411607
515	0.4851053517
520	0.4850766664
525	0.4850629904
530	0.4850172005
535	0.4849982294
540	0.4849829915
545	0.4849604394
550	0.484928097
555	0.4848939642
560	0.4848554885
565	0.4848298127
570	0.4847992607
575	0.4847700802
580	0.4847492805
585	0.4847157571
590	0.4846782338
595	0.4846648245
600	0.4846392249
605	0.4846116824
610	0.4845929779
615	0.4845756829
620	0.4845428453
