iter	Passed	Remaining
399	36406	152724
400	36492	152611
401	36565	152446
402	36673	152427
403	36785	152424
404	36881	152353
405	36954	152185
406	37061	152160
407	37162	152111
408	37279	152126
409	37390	152114
410	37474	151996
411	37575	151944
412	37655	151806
413	37754	151745
414	37854	151690
415	37936	151564
416	38040	151521
417	38140	151468
418	38238	151403
419	38340	151353
420	38442	151303
421	38571	151363
422	38649	151218
423	38731	151089
424	38837	151056
425	38939	151004
426	39019	150871
427	39123	150826
428	39198	150670
429	39293	150596
430	39389	150519
431	39463	150361
432	39539	150213
433	39641	150162
434	39755	150156
435	39859	150112
436	39961	150061
437	40057	149987
438	40164	149952
439	40244	149819
440	40344	149757
441	40419	149605
442	40522	149556
443	40610	149455
444	40691	149322
445	40793	149270
446	40881	149168
447	40970	149067
448	41080	149040
449	41177	148970
450	41279	148919
451	41360	148789
452	41469	148760
453	41572	148709
454	41661	148607
455	41761	148544
456	41854	148458
457	41956	148406
458	42073	148401
459	42152	148266
460	42253	148208
461	42345	148118
462	42457	148095
463	42563	148055
464	42651	147949
465	42755	147899
466	42840	147785
467	42918	147648
468	42994	147501
469	43089	147421
470	43163	147270
471	43242	147133
472	43327	147021
473	43436	146987
474	43551	146975
475	43659	146938
476	43758	146870
477	43851	146781
478	43950	146716
479	44048	146645
480	44122	146495
481	44209	146387
482	44311	146328
483	44395	146210
484	44478	146091
485	44570	146000
486	44665	145919
487	44760	145838
488	44849	145736
489	44934	145624
490	45025	145530
491	45124	145461
492	45224	145398
493	45325	145335
494	45425	145269
495	45506	145143
496	45581	144999
497	45682	144936
498	45783	144874
499	45860	144736
500	45942	144612
501	46034	144523
502	46130	144443
503	46224	144361
504	46322	144288
505	46425	144231
506	46531	144182
507	46632	144119
508	46718	144009
509	46790	143856
510	46878	143755
511	46976	143683
512	47063	143574
513	47142	143444
514	47228	143335
515	47303	143193
516	47406	143135
517	47508	143075
518	47604	142996
519	47688	142883
520	47784	142803
521	47880	142724
522	47989	142685
523	48101	142653
524	48202	142587
525	48299	142511
526	48396	142434
527	48498	142372
528	48601	142313
529	48703	142250
530	48829	142257
531	48914	142147
532	48986	141996
533	49083	141919
534	49169	141809
535	49262	141723
536	49340	141588
537	49423	141471
538	49504	141349
539	49608	141291
540	49692	141178
541	49792	141110
542	49879	141003
543	49974	140920
544	50072	140844
545	50169	140769
546	50259	140671
547	50335	140535
548	50423	140432
549	50516	140342
550	50600	140230
551	50682	140111
552	50764	139993
553	50836	139845
554	50941	139791
555	51048	139739
556	51149	139675
557	51257	139626
558	51327	139476
559	51392	139310
560	51474	139191
561	51562	139091
562	51665	139028
563	51746	138909
564	51849	138846
565	51940	138751
566	52017	138622
567	52102	138510
568	52204	138446
569	52305	138379
570	52391	138272
571	52492	138206
572	52597	138149
573	52697	138079
574	52801	138017
575	52891	137922
576	52988	137843
577	53080	137751
578	53184	137692
579	53264	137568
580	53368	137509
581	53476	137457
582	53571	137373
583	53666	137289
584	53761	137207
585	53846	137095
586	53930	136985
587	54021	136890
588	54109	136790
589	54229	136768
590	54299	136621
591	54407	136571
592	54485	136442
593	54583	136366
594	54686	136302
595	54785	136229
596	54887	136162
597	54986	136086
598	55092	136030
599	55175	135915
600	55276	135845
601	55350	135708
602	55451	135640
603	55563	135597
604	55674	135551
605	55778	135487
606	55889	135443
607	55983	135355
608	56063	135234
609	56163	135160
610	56260	135080
611	56349	134980
612	56449	134907
613	56549	134834
614	56648	134759
615	56751	134692
616	56839	134590
617	56943	134527
618	57018	134393
619	57103	134285
620	57193	134187
621	57284	134093
622	57377	134003
623	57466	133904
624	57566	133831
625	57661	133744
626	57746	133637
627	57844	133558
628	57934	133460
629	58029	133376
630	58117	133273
631	58224	133215
632	58306	133100
633	58378	132962
634	58463	132855
635	58560	132774
636	58665	132711
637	58768	132643
638	58862	132555
639	58964	132484
640	59052	132385
641	59148	132301
642	59250	132230
643	59332	132116
644	59444	132069
645	59542	131989
646	59641	131911
647	59718	131785
648	59817	131708
649	59916	131631
650	60008	131539
651	60105	131456
652	60200	131372
653	60287	131267
654	60367	131149
655	60472	131086
656	60545	130951
657	60644	130873
658	60727	130761
659	60820	130671
660	60900	130554
661	60998	130474
662	61088	130377
663	61176	130277
664	61263	130172
665	61370	130112
666	61436	129965
667	61531	129880
668	61616	129772
669	61714	129693
670	61819	129628
671	61889	129488
672	61978	129391
673	62096	129352
674	62177	129237
675	62281	129169
676	62397	129127
677	62501	129059
678	62594	128968
679	62680	128863
680	62784	128795
681	62859	128668
682	62954	128581
683	63053	128504
684	63149	128420
685	63250	128345
686	63336	128240
